"columna_1","columna_2"
"Fatal","Fatal En dos ocasiones el anfitrión no contesta y me deja en la calle...me ha ocurrido en dos ocasiones con esta plataforma...y tras intentar contactar con la plataforma,lo que hacen en una situación de emergencia es mandarme emails y códigos... chorreadas cuando me he encontrado tirada sin alojamiento y tuve que buscar rápido otro alojamiento por mu cuenta....pagandomelo yo y sin idenminacion por parte de la plataforma ni del anfitrión....y qué le ocurre al anfitrión???? Absolutamente nada...puede seguir ofreciendo la habitación como sí nada....pero la que ha estado esperando por contactar con él y buscarse algo he tenido que ser yo...ninguna responsabilidad por parte de los intermediarios ni del anfitrión... No volváis a usarla"
"Un huésped llama para decir qmal servicio para los anfitrionesue no…","Un huésped llama para decir que no quiere rellenar los formularios que nos exige la policía. La persona que le atiende en Airbnb le dice que no se preocupe que no es necesario ya que no lo pone en el anuncio. En lugar de decirle que siente el error pero que es necesario según la legislación. Sin importar que nos expongamos a una multa de 6000 euro por parte de la policía.  Esa es la buena labor de los asistentes de Airbnb.  O es desconocimiento o mala leche a la hora de informar"
"Estafados","Somos anfitriones de más de 9 años con la plataforma y los últimos huéspedes que hemos tenido nos han estafado. Han estado un día y medio en nuestra vivienda y cancelaron la reserva de cuatro días en temporada alta. Cual es nuestra sorpresa, que ponen una reseña negativa y la página no nos permite contestar. Vamos a dejar de trabajar con Airbnb y por supuesto no recomendamos para nada trabajar con esta plataforma"
"Nefasta","Nefasta. Como anfitriona mienten en la edad, entran chavales q te rompen la casa y Airbnb se lava las manos. Nunca más alquilaré el alargamiento con ellos. Además de quedarse un dineral por cada persona q entra, el servicio nulo"
"Mi experiencia es bastante mala","Mi experiencia es bastante mala, el anfitrión me canceló la reserva y después de 10 días sigo esperando el reembolso del dinero, llamo a atención al cliente de airbnb y le echan las culpas al banco al cual he ido a informarme, y me dicen que hasta dentro de otros cinco días “ se supone” que me lo ingresan, espero que sea asi!!!!! No reservó más aquí !! SINVERGUENZAS"
"OJO CON ESTOS DE Airbnb","Haced caso de las malas reseñas.Me han dejado sin vacaciones, con una deuda activa, con mi cuenta bloqueada y con mis hijos llorando por algo que parecía seguro.Lo peor es que todo lo que ha pasado lo permite su sistema, lo saben y lo asumen como normal,Airbnb permite:1. Que pagues por una reserva que aún no ha sido aceptada.Ves un alojamiento disponible, pagas, te confirman el pago… y crees que todo está hecho. Pero no. El anfitrión aún puede rechazarlo.Y mientras tanto, tu dinero ya no está en tu cuenta. Según ellos “no se cobra”, pero desaparece de tu cuenta bancaria. Se queda retenido por días y tú, sin alternativa.2. Que pidas un préstamo dentro de su app sin saber si el alojamiento será tuyo.Esto roza el absurdo. Airbnb te ofrece pagar a plazos con Klarna incluso antes de que el anfitrión acepte. En mi caso, pedí el préstamo para una estancia del 11 al 13 de julio. Todo parecía correcto, pero 10 minutos después, la anfitriona lo rechazó. es decir hay algo mas absurdo que la propia app te acepte un préstamo para reservar un alojamiento que no esta confirmado? que digo yo... no seria lo mas normal que una vez confirmada la disponibilidad del anfitrión automáticamente la app ponga disponible el préstamo para solicitar? de todas formas ahora, tengo aceptado un préstamo para un alojamiento que me lo han cancelado a los 10 minutos, de un alojamiento que estaba disponible, ojo con la absurdez.¿La razón? Porque ella esperaba otra reserva el 14 y no quería tener huéspedes antes. Pero el anuncio aparecía como disponible. Entonces… ¿por qué no quitó las fechas?El resultado: tengo un préstamo activo con comisiones por algo que no voy a disfrutar. Y para colmo, ese préstamo no se puede reutilizar con otro alojamiento. Es decir, te lo comes... porque cuando solicitas un préstamo solo tienes la opción a utilizarlo con ese alojamiento ya que estas solicitándolo para ese mismo, no en general y tu lo usas donde quieras.3. Que el reembolso lo hagan cuando les dé la gana.El dinero “vuelve a tu cuenta” pero nadie te dice cuándo. Puede tardar días. Y si esas eran tus únicas vacaciones, como fue nuestro caso, ya las has perdido.El daño ya está hecho. El reembolso no compensa la frustración, los intereses del préstamo ni el tiempo perdido.4. Que si reclamas, te bloqueen.Después de reclamar, Airbnb bloqueó mi cuenta. Ya no puedo reservar nada más. Pero si accedo con otro usuario, sí funciona.O sea, castigan al que exige explicaciones, al que ha sido perjudicado, al que tiene razón.5. Que los anfitriones no tengan ninguna consecuencia.Mi anfitriona dejó las fechas abiertas, aceptó que aparecieran como disponibles y después rechazó la solicitud sin más. Y eso, según Airbnb, no tiene consecuencias.Pero yo, que confié, me quedé sin dinero, sin alojamiento y con mis hijos llorando con la maleta a medio hacer.Esto no es un error. Es un modelo que funciona así, y lo permite Airbnb. Y mientras tanto, el viajero lo pierde todo.Y cuando pedimos ayuda, nos dicen que “contactemos con Klarna”. Como si nosotros hubiéramos diseñado el sistema. Como si no fuera responsabilidad de Airbnb respaldar las operaciones que ellos mismos promueven dentro de su app.No hemos recibido ayuda, ni alternativa, ni compensación. Solo excusas, silencio y bloqueo.Quien lea esto, que lo piense dos veces. Porque mañana puede ser tú quien se quede sin dinero, sin viaje… y sin respuesta."
"estafadores","alquile un piso en valencia para ingresar el 26/06  4pm, y por problemas de retrasos de aeropuerto llegue el 27/ 06 a las10 am, mi anfitrion me respondio que no se encontraba en la ciudad y que cuando regresara me informaria ( no dio hora ni fecha) dejandome afuera en la calle, por lo que me toco conseguir otro hospedaje, le solicite el reembolso  al anfitrion, dijo que hablaria con airanb, no me regreso nada por que tiene política de no regreso del dinero ( me estafo) yque yo tenia  que haber ingresado el dia 26, que ya el 27 no podia ingresar a pesar que habia pagado 6 dias de estancia, hable con servicio al clinete de airanb y no hicieron nada, que ellos no podian hacer nada, mal pesimo no protegen los usuarios y si cobran por adelantado su comision,"
"Muy malo","Muy malo , me han estafado el dinero de la reserva días antes de la llegada al piso , el anfitrión solo indico que no era creíble que yo pudiera cancelar la ida al lugar, el piso se encuentra en Triana Sevilla , el anfitrión Al aro y coanfitrion se quedan con la totalidad del dinero , no recomiendo la estafa de Airbnb, todavía estoy esperando respuestas , dinero ahorrado y trabajado por mi, se lo quedan porque es su política más sucia y absurda"
"No recomiendo el airbnb","No recomiendo airbnb, mi experiencia ha sido muy negativa. Tenía un viaje a París que fue anulado por huelga de controladores aéreos, cancele en cuanto lo supe para evitar problemas al anfitrión. Este alquiló su alojamiento porque así lo comprobé al día siguiente , le pedí el reembolso porque sabía que él no tenía ningún perjuicio por l ña huelga y se negó diciendo que hablara con airbnb. Estos a su vez se negaron diciendo que el anfitrión no quería devolver el dinero. Escandaloso y muy preocupante que ambos se enriquezcan de huelgas de controladores aéreas que saben que los huéspedes no pueden controlar. Recomiendo alquile hoteles donde estas cosas seguro que no hubieran pasado."
"Suelen cancelar poco antes del viaje","No recomiendo alquilar aquí, te cancelan 10 días antes del viaje sin motivo aparente. Te indemnizan con apenas un 2%, si vuelves a alquilar con ellos y buscate la vida a toda prisa con todo mucho más caro. Hay otras páginas mejores que no te hacen esta faena."
