"columna_1","columna_2"
"No le doy 0 porque no existe","No le doy 0 porque no existe, después de usar la aplicación por más de 10 años y más de 35 reservas con todos los comentarios excelentes de los anfitriones, la aplicación me ha sido cerrada y dice siempre que está en revisión, pero al contactar con ellos dicen que no soy apta para la aplicación."
"Ladrones","Son unos ladrones que no ayudan para nada. El peor servicio del mundo"
"Todo mal.","Todo mal.Tuvimos un overbooking. Hablamos con el huesped (impresentable y maleducado) y me dijo que por favor le hiciera el bizum porque no tenía para hacer otra reserva (270€).Se lo hice al momento. El huesped canceló la reserva alegando overbooking Airbnb le devolvió el dinero al huesped (por lo que nos robó 270) y además nos penalizó (135€). Aportamos pruebas, pantallazos y todoEl huesped un pobre hombre maleducado que no saldrá nunca de la miseria, pero Airbnb unos h.d.p Que os d.p.c AirbnbQuito mis 2 anuncios que os reportaban más de 10.000€ en total"
"ROBO POR AIRBNB","Yo trabajo 10 años aprox. con AIRBNB y siempre hemos sido respetuosos con las Reservas de AIRBNB, Sin embargo AIRBNB canceló dos de mis reservas a última hora. (ambas reservas eran por el monto de usd 20. dólares) que estaban para una sola noche. Me comuniqué con los clientes el motivo de la cancelación y me indican que AIRBNB les comunicó que el Establecimiento les habia cancelado su reserva, ya que la cancelación era a última hora . Nunca hemos cancelado alguna reserva confirmada con AIRBNB. (cancelaron diciendo mentiras al cliente) No contentos con la cancelación, me cobran una penalidad de usd 100. dólares, sin embargo al preguntar a los clientes me indican que nunca les dieron ese dinero por la cancelación. Al contrario Ellos les buscaron otro alojamiento. TENGAN MUCHO CUIDADO CON AIRBNB, No sé si es un error de su Sistema o un robo intencionado. Si Ellos aplicaron esas políticas , por lo menos nunca me comunicaron mediante email, que debería de ser lo correcto."
"UN ENGAÑO!!!","Contacto con el anfitrión del apartamento que tenía contratado en la ciudad de Murcia y me dice que ya no trabaja con Airbnb, llamo a la empresa y la única opción que me dan es otro alojamiento a 15km, al final me devuelven el dinero pero mínimo a los 8 días, (para cobrar si lo hacen al instante), tengo que buscar otra opción para el fin de semana que ya tengo planificado y la única opción es al doble de precio, no tienen la vergüenza de avisar con tiempo de que ese alojamiento ya no está disponible en su página, para buscar otra opción con tiempo"
"Para cobrar muy bien","Para cobrar muy bien, para todo lo demás horrible.Hacen de pasarela entre viajero y anfitrión pero lo único que hacen es cobrar por ponerte en contacto, todo lo demás se hacen los locos. Pagas con paypal y si quieres haces disputa con paypal, no vale la pena ponerse en contacto con ellos porque total, son solo una pasarela de pago, no hacen nada más."
"Nefastos","He tenido una experiencia muy insatisfactoria con Airbnb en relación con la facturación de mis reservas. Desde el inicio configuré mi cuenta con los datos fiscales de mi empresa, pero las facturas se emitieron a mi nombre personal. Tras varias reclamaciones, la única respuesta de Airbnb ha sido que no es posible corregir facturas ya emitidas, aun cuando el error no fue mío.El servicio de atención al cliente ha sido poco útil, con respuestas contradictorias y sin aportar ninguna solución real. El resultado es un perjuicio fiscal para mi empresa y una completa falta de confianza en la plataforma.Para un anfitrión que necesita cumplir con sus obligaciones legales y fiscales, esta situación es inaceptable. Airbnb debería ofrecer herramientas claras y eficaces para garantizar facturación correcta desde el primer momento. Después de esta experiencia, me estoy planteando seriamente dejar de usar la plataforma."
"Horrible. Son una empresa sin sentido de la…","Son una empresa sin sentido de la responsabilidad que te dejan abandonado cuando tienes un problema con el anfitrión acogiéndose al argumento de que se debe llegar a un acuerdo personal entre el cliente y el anfitrión. No te dejan escribir una reseña por el simple hecho de que han pasado más de 14 días y cuando pides hacerlo dicen que es “imposible”, cuando es simplemente porque no les da la real gana. 0 en atención al cliente y protección de los intereses. Políticas de cancelación irrisorias."
"Me cancelaron una semana antes el…","Me cancelaron una semana antes el apartamento y no me compensaron en ningún aspecto, tuve que coger otro apartamento el doble de caro una semana antes. No fue mi culpa y pagué en doble por lo cancelación a última hora, no te dan fiabilidad en nada."
"Negastos","Nunca había tenido problemas.Pero este año nos han estafado y Airbnb lo apoya, incluso ha eliminado las reseñas negativas, por suerte tengo pantallazo para aportar en la demanda."
