"columna_1","columna_2"
"Estafa en una casa de Jávea","Hola,quería contar la estafa que han intentado hacernos a mis amigos y a mí sobre el alquier de una casa en Jávea. (Calle Petrer)Estuvimos buscando anuncios por la página de airbnb y encontramos una casa (por no decir mansión) con piscina, jacuzzi, unas vistas impresionantes, etc. Su precio era de 150€ la noche por lo que nos hizo desde un primer momento dudar, ya que era más bajo que otras casas en la misma ubicación y con menos prestaciones. De todos modos, intentamos contactar con el chico ya que hemos alquilado muchas veces con la plataforma Airbnb y nos daba mucha seguridad. La sorpresa fue que el vendedor quiso ponerse en contacto con nosotros vía whatsapp para hablar antes de hacer la reserva y nos dijo que prefería hacer esta mediante la plataforma TRIPADVISOR. Nos contó un rollo diciéndonos que en esta plataforma los cargos por servicios eran menores y que llevaba muchos años trabajando con esta y se fiaba más.  Nos comunicó que nos iba a mandar un LINK para poder hacer la reserva y pagarla. En ese momento, nos informamos sobre las condiciones que tenía TRIPADVISOR donde decía que si el anuncio tenía el certificado de pago seguro, la plataforma se ocupaba de todos los gastos que pudiera suponer una devolución del dinero, o de una casa que no fuera real, etc. También investigamos la ubicación de la casa mediante Google Earth y efectivamente la casa existía por lo que todo parecía estar bien. Gracias a comentarios como este, donde se explica la experiencia en estafas pude ver que a una chica le había ocurrido algo similar, un hombre le mandaba el LINK  y luego sólo tenía que pagar. En esta estafa que leí, la chica detallaba que cuando abrías el LINK podías apreciar que no podías navegar por el menú que salía en la parte superior y efectivamente cuando accedimos a él nos ocurrió exactamente lo mismo, era una copia de la página falsa. Si no llegamos a investigar un poco la página hubieramos caído ya que es completamente igual! Incluso con el certificado de pago seguro que hemos explicado anteriormente. POR LO QUE ERA UNA GRAN ESTAFA Y TODAVÍA PEOR, TRIPADVISOR SE LAVA LAS MANOS YA QUE ES UNA COPIA FALSA DE LA PÁGINA. Intentamos llamarle por teléfono para decirle lo sinvergüenza y estafador que era, pero CASUALMENTE el número de teléfono salía apagado o fuera de cobertura, sin embargo, aparecía en línea por whatsapp. Insistimos en que nos cogiera el teléfono ""para ayudarnos a reservar"" y nos dio largas, solo atendía whatsapp. Cuando le dijimos al vendedor que era un estafador y que Íbamos a tomar medidas legales directamente nos bloqueó a todos. Con esto, solo queremos ayudar a todas estas personas que puedan llegar a perder su dinero por gente como esta. Por suerte, nosotros no hemos perdido nada pero si no hubiéramos investigado por internet quizás, nos la hubiera colado."
"a mi siempre me ha ido genial con esta web","Yo tuve que cancelar un viaje por cuestiones meteorológicas y se portaron fenomenal.Buena atención y rapidez.Mi experiencia con ellos siempre ha sido buena"
"FATAL","FATAL, TENÍAMOS RESERVADO UN APARTAMENTO QUE NOS COSTÓ 284 EUROS Y TUVIMOS QUE ANULARLO POR FUERZA MAYOR A CAUSA DEL COVID19, YA QUE UNOS VENÍAN DE BARCELONA Y NO PUDIERON VIAJAR, ME HAN DEVUELTO 40 EUROS, ME PARECE INDIGNANTE QUE SOLO VAYAN A SACAR DINERO, ENTIENDO QUE ME COBREN GASTOS DE LIMPIEZA O DE GESTIÓN, PERO ESTO EN DE JUZGADO"
"Fin de semana en Teruel en casa de…","Fin de semana en Teruel en casa de Anabel.Un encanto de anfitriona que nos hizo sentir como si estuviésemos en nuestra casa.Muchas gracias a Anabel y Miguel por su hospitalidad, seguro que repetimos."
"No SE ninguna plataforma mejor, Ni para Viajeros Ni para Propietarios","No entiendo tantas Quejas.Mi experiencia fue GENIALLo uso desde 2015. Y tenia de todo, reservo basicamente SOLO con airbnb. Ningunos booking y exc. Ultimo año uso como anfitrión. Y antes de eso reserve mas de 15 alojamentos. Una vez me hicieron cancelar la reserva un par de hora antes de que teniamos que entrar. Es decir que acabo de entrar a ciudad y recibo que tu reserva fue cancelada. pero a escribir a soporte, me ayudaron encontrar otra vivienda similiar y diferencia de precios han cubierto Airbnb.Y por otro lado a propietario de un apartamento, le arreglaron suelo, cual por culpa de turistas se mojo y levanto. Todo por coste de Airbnb.Y tambien use antes otras plataformas, y tenia problemas con hoteles y etc. Para mi Airbnb es mejor plataforma. No uso ninguna otra ni para viajar, ni para publicar mi alojamiento! Y soy una persona de verdad podeis entrar a mi Facebook etc. Que no es comentario pagado es de corazon, de tantos años con esta plataforma. Realmente me ayudo a viajar, muchas veces no he tomado decicion de viajar sin poder alojar tan comodo"
"Buena experiencia y buen precio","Buena experiencia y buen precio.  Definitivamente mejor que los hoteles."
"Hola buenas hemos estado alojados en…","Hola buenas hemos estado alojados en algemesi cale pais de valencia 48 con señor Josele hemos recibido el mejor tratamiento posible la casa muy acogedora ,limpia echipada con todo necesario puedo decirle que mucho mejor que un hotel y por esto quiero dar la gracias a señor Josele porque se lo mece con creces"
"Luz Marina","Yo tube, muy buena atención por esta agencia Airbnb. He tenido amabilidad, respeto, limpieza, tranquilidad, atención, buen servicio como si estuviera en casa. No duden Airbnb Le da la tranquilidad y el buen servicio que uno necesita.Sra Rosa Monedero, muchas gracias por su buen servicio Ausiàs March21  Alboraya Valencia"
"POR LO QUE A MI RESPECTA ES UNA PÁGINA…","POR LO QUE A MI RESPECTA ES UNA PÁGINA SERIA. LOS NORTEAMERICANOS SON GENTE DE FIAR. NADA MÁS QUE COMENTAR."
"HAY QUE LEER...","La mayoría de los malos comentarios que leo sobre la plataforma de airbnb, sus políticas de cancelación, evaluaciones, etc son por FALTA DE LECTURA; está perfectamente explicado a lo largo del proceso de reserva de un apartamento que NUNCA se hagan transacciones fuera de la la plataforma (porque timadores hay en airbnb y en todas partes), la evaluación se publican tras 14 días si uno de las partes (anfitrión o huésped) no evalúa. Las políticas de cancelación las elige el anfitrión (flexible, moderada, estricta y superestricta) y están MUY bien explicadas en su web (pero hay que leer...) Hay plazos para hacer reclamaciones, como en cualquier asunto. Hay huéspedes buenos y huéspedes malos, igual que hay anfitriones buenos y anfitriones malos... Como la vida misma, pero también hay que saber defenderse: que el apartamento no es como el que se reserva, hazle fotos y envíalas a atención al cliente, que te pide dinero fuera de la plataforma, envía un mail con la captura de pantalla de esa petición.En muchas ocasiones el huésped llega a horas intempestivas porque no ha leído que los horarios de check in son limitados (lo que no sabe es que el anfitrión se cansó de perder SU tiempo esperando...)"
