"columna_1","columna_2"
"Soy anfitriona hace 10 años con…","Soy anfitriona hace 10 años con evaluaciones de 5 estrellas, llega un huésped que NO HA LEÍDO EL ANUNCIO, AL CUAL HE INFORMADO  EN VARIAS VECES DE LAS NORMAS DE MI CASA, hace lo que quiere y decide irse, Airbnb no sólo admite su solicitud sino que ignora mis pruebas.Me han robado 800 euros, nada es claro cobran doble comisión, no te atiende nadie más allá de atención al cliente, no hay instancias superiores. Te dejan en una situación de impotencia...yo me voy son unos auténticos  ladrones. Mucho cuidado a los que llegáis. Es injusto he indignarse. Intenta reservar por tu cuenta para que no te roben como a mí."
"Fallo grave en Air bnb para propietarios","Deberías de compensar a los propietarios económicamente a los cuales nos habéis bloqueado el anuncio como a mí durante los dos meses y hoy mismo he podido volver a publicarlo. Por eso he modificado este comentario pero os merecéis 1 estrella igualmente"
"AIRBNB cómplices de un anuncio fraudulento","Llevo denunciando mes y medio un anuncio fraudulento que se ha publicado utilizando el material fotográfico de mi propiedad y solicitando su inmediata retirada de la plataforma. AIRBNB está siendo cómplice del fraude porque no hace nada al respecto, sólo se escala a agentes de un escalafón superior pero, a fecha de hoy, no han solucionado mi reclamación."
"No recomiendo para nada","No recomiendo para nada. Falta de profesionalidad, 0 empatía con el usuario. Te marean y no te solucionan nada y se niegan después de molestarte en pedir pruebas y al final no te devuelven nada. Me dicen que el agua caliente para ducharse no es un servicio que se ofrezca al contratar un alojamiento con ellos. Vergonzoso . Aparramentos sucios y sin respuesfa x falta de suministros esenciales. No volveré a contratar sus servicios y menos lo recomiendo."
"SON UN DESASTRE","SON UN DESASTRE. Respaldó al usuario CERO. Alquilamos 3 días con mi pareja un apartamento el cual no tenía agua. Nos tuvieron a cuento los anfitriones 3 días con que la estaban arreglando pero que igual nos iba a devolver el dinero. Termino nuestra esta día y no tuvimos agua. No PUDIMOS BAÑARNOS, el anfitrión desapareció, obvio no nos devolvió absolutamente nada, hicimos reclamo por airbnb y nos devolvieron 10 dólares SI, escucharon bien. De 150 USD que GASTAMOS. CON LA EXCUSA DE QUE ERA EL 30% de cada día??????? Que lo demás eran impuestos de la plataforma. O sea, nos estafaron, no tuvimos agua, no nos pudimos bañar y el anfitrión que alquilamos por SU PLATAFORMA DESAPARECIÓ y no se hacen cargo!!!!!!! Dicen que no pueden solucionarnos nada y darnos una devolución. Estoy ASQUEADA, no puedo entender cómo una empresa tan conocida internacionalmente actúe de esta manera, imagínense que si no conseguimos devolución de dinero con esta situación que realmente es vergonzosa, olvídense de su plata cuando alquilen por acá y recen que no les pase nada por qué no van a ayudarlos ni a darles respaldo, van a perder su plata. Nunca pero nunca más, y la uso hace 11 años"
"Airbnb ya no es recomendable.","Después de 16 años en airbnb sin problemas, ahora debido a una serie de puntuaciones bajas sin motivo ni justidicación por parte del cliente, me han cerrado la cuenta. Da demasiada voz al inquilini que tiene libertad total para hundirte el anuncio si no esta de acuerdo en algo. Cada vez es mas complicado contactar con las ofici as de airbnb si tienes alguna duda o problema... Después de tantos años con ellos ahora veo que si no tienes el maximo de puntuación como propietari, ere un problema para ellos y te echan de la plataforma. No recomiendo a nadia iniciarse en airbnb y  como turista, tampoco!"
"No le doy 0 porque no existe","No le doy 0 porque no existe, después de usar la aplicación por más de 10 años y más de 35 reservas con todos los comentarios excelentes de los anfitriones, la aplicación me ha sido cerrada y dice siempre que está en revisión, pero al contactar con ellos dicen que no soy apta para la aplicación."
"Ladrones","Son unos ladrones que no ayudan para nada. El peor servicio del mundo"
"Todo mal.","Todo mal.Tuvimos un overbooking. Hablamos con el huesped (impresentable y maleducado) y me dijo que por favor le hiciera el bizum porque no tenía para hacer otra reserva (270€).Se lo hice al momento. El huesped canceló la reserva alegando overbooking Airbnb le devolvió el dinero al huesped (por lo que nos robó 270) y además nos penalizó (135€). Aportamos pruebas, pantallazos y todoEl huesped un pobre hombre maleducado que no saldrá nunca de la miseria, pero Airbnb unos h.d.p Que os d.p.c AirbnbQuito mis 2 anuncios que os reportaban más de 10.000€ en total"
"ROBO POR AIRBNB","Yo trabajo 10 años aprox. con AIRBNB y siempre hemos sido respetuosos con las Reservas de AIRBNB, Sin embargo AIRBNB canceló dos de mis reservas a última hora. (ambas reservas eran por el monto de usd 20. dólares) que estaban para una sola noche. Me comuniqué con los clientes el motivo de la cancelación y me indican que AIRBNB les comunicó que el Establecimiento les habia cancelado su reserva, ya que la cancelación era a última hora . Nunca hemos cancelado alguna reserva confirmada con AIRBNB. (cancelaron diciendo mentiras al cliente) No contentos con la cancelación, me cobran una penalidad de usd 100. dólares, sin embargo al preguntar a los clientes me indican que nunca les dieron ese dinero por la cancelación. Al contrario Ellos les buscaron otro alojamiento. TENGAN MUCHO CUIDADO CON AIRBNB, No sé si es un error de su Sistema o un robo intencionado. Si Ellos aplicaron esas políticas , por lo menos nunca me comunicaron mediante email, que debería de ser lo correcto."
"UN ENGAÑO!!!","Contacto con el anfitrión del apartamento que tenía contratado en la ciudad de Murcia y me dice que ya no trabaja con Airbnb, llamo a la empresa y la única opción que me dan es otro alojamiento a 15km, al final me devuelven el dinero pero mínimo a los 8 días, (para cobrar si lo hacen al instante), tengo que buscar otra opción para el fin de semana que ya tengo planificado y la única opción es al doble de precio, no tienen la vergüenza de avisar con tiempo de que ese alojamiento ya no está disponible en su página, para buscar otra opción con tiempo"
"Para cobrar muy bien","Para cobrar muy bien, para todo lo demás horrible.Hacen de pasarela entre viajero y anfitrión pero lo único que hacen es cobrar por ponerte en contacto, todo lo demás se hacen los locos. Pagas con paypal y si quieres haces disputa con paypal, no vale la pena ponerse en contacto con ellos porque total, son solo una pasarela de pago, no hacen nada más."
"Nefastos","He tenido una experiencia muy insatisfactoria con Airbnb en relación con la facturación de mis reservas. Desde el inicio configuré mi cuenta con los datos fiscales de mi empresa, pero las facturas se emitieron a mi nombre personal. Tras varias reclamaciones, la única respuesta de Airbnb ha sido que no es posible corregir facturas ya emitidas, aun cuando el error no fue mío.El servicio de atención al cliente ha sido poco útil, con respuestas contradictorias y sin aportar ninguna solución real. El resultado es un perjuicio fiscal para mi empresa y una completa falta de confianza en la plataforma.Para un anfitrión que necesita cumplir con sus obligaciones legales y fiscales, esta situación es inaceptable. Airbnb debería ofrecer herramientas claras y eficaces para garantizar facturación correcta desde el primer momento. Después de esta experiencia, me estoy planteando seriamente dejar de usar la plataforma."
"Horrible. Son una empresa sin sentido de la…","Son una empresa sin sentido de la responsabilidad que te dejan abandonado cuando tienes un problema con el anfitrión acogiéndose al argumento de que se debe llegar a un acuerdo personal entre el cliente y el anfitrión. No te dejan escribir una reseña por el simple hecho de que han pasado más de 14 días y cuando pides hacerlo dicen que es “imposible”, cuando es simplemente porque no les da la real gana. 0 en atención al cliente y protección de los intereses. Políticas de cancelación irrisorias."
"Me cancelaron una semana antes el…","Me cancelaron una semana antes el apartamento y no me compensaron en ningún aspecto, tuve que coger otro apartamento el doble de caro una semana antes. No fue mi culpa y pagué en doble por lo cancelación a última hora, no te dan fiabilidad en nada."
"Negastos","Nunca había tenido problemas.Pero este año nos han estafado y Airbnb lo apoya, incluso ha eliminado las reseñas negativas, por suerte tengo pantallazo para aportar en la demanda."
"Airbnb permite anfitriones que omiten información crítica sobre accesibilidad","Tuve una experiencia muy frustrante con Airbnb debido a la falta de control sobre la veracidad de la información que ofrecen los anfitriones, especialmente cuando se trata de temas tan sensibles como la accesibilidad.Antes del viaje, informamos al anfitrión de que uno de los huéspedes necesitaba usar silla de ruedas tras un accidente. Solicitamos información clara y específica, y el anfitrión nos aseguró que solo había una escalera de 12 peldaños. Confiando en esa respuesta, decidimos mantener la reserva.Al llegar, descubrimos que además de la escalera, había una pendiente empedrada y muy pronunciada de unos 50 metros, que hacía imposible el acceso en silla de ruedas. Esta información fue completamente omitida, a pesar de haber preguntado expresamente por la accesibilidad. Una omisión grave que constituyó una representación engañosa del alojamiento.Tuvimos que cancelar la estancia después de una sola noche, ya que no era posible continuar por motivos evidentes de movilidad. Pedimos a Airbnb que hiciera una excepción a su política de cancelación por tratarse de un caso de información falsa u oculta, pero el proceso de resolución fue lento y sin defensa para el cliente accidentado.Airbnb debería asumir más responsabilidad y verificar los alojamientos que afirman ser accesibles. Las personas con discapacidad no deberían exponerse a este tipo de situaciones, ni cargar con las consecuencias económicas de errores ajenos."
"Tienen anunciantes que estafan","Tienen anunciantes que estafan, pidiendo dinero como fianza a la entrada, que nunca devuelven. Y la plataforma te dice que no responde.  Evitar reservar por aquí. Cuidado con Casa Luxemburgo en Torrevieja, Alicante. Se dedica a estafar a través de Airbnb."
"Airbnb inoperantes y poco confiables","Paguen alojamiento y nunca me mandaron la confirmación.  El banco me lo cobro y habiendoles mandado los comprobantes de pago a Airbnb no reconocieron la reserva. Luego de varias horas de disputas me piden disculpas y me hacen la reserva y me lo confirma el hotel en Roma. Llegamos el día indicado y Airbnb habian dado de baja la reserva.  Son incompetentes, inoperantes y poco confiables. NO USEN ESTA PLATAFORMA."
"Llegué a un alojamiento y en las fotos…","Llegué a un alojamiento y en las fotos parecía una caseta y cuando llegamos era una especie de choza donde había que entrar agachado. Pero la cuestión es que, la anfitriona cedió a hacernos un reembolso y Airbnb intentó engañarnos confirmando que la anfitriona se había negado a devolver el dinero y que no se podía hacer nada. Muy enfadados le escribimos a la anfitriona y ella dijo que estaba esperando una solicitud de cancelación que no le había llegado pero que ella estaba de acuerdo en realizar la devolución. En concreto un tal Óscar fue el que nos confirmó que la anfitriona se había negado. Una gestión nefasta. Nos hemos sentido engañados y no volveré a reservar a través de esta plataforma JAMÁS."
"Sociedad autodestructiva","Solamente usé airbnb una vez en mi vida: fue hace años, era más joven y airbnb era entonces más barato que los hoteles/hostels; y sobre todo en aquel entonces no echaban a nadie de su vivienda para convertirla en piso turístico. La experiencia no fue ni mala ni buena, solo fue una manera económica de pasar la noche. Ahora los pisos turísticos ya no son tan rentables como antes. Sin embargo ahora no usaré Airbnb ni ninguna otra plataforma que se lucre violando los derechos humanos, ni como “anfitrión” ni como “huésped”.El artículo 47 de la Constitución Española establece que todos los españoles tienen derecho a disfrutar de una vivienda digna y adecuada; derecho que sería más fácil de conseguir si no se especulara con los pisos turísticos como se está haciendo a día de hoy."
"Airbnb está a favor del Genocidio en…","Airbnb está a favor del Genocidio en Gaza . Tiene negocio en asentamientos de colonos que han destruido las casas de los palestinos y contribuye al genocidio reiterándose en su política a favor de sangre por dinero"
"No hacer nada con Airbnb","Yo quiero hacer una reseña a Airbnb no contratar nada con ellos, he tenido una mala experiencia con ellos y encima me han borrado todos los mensajes que tuve con ellos y lo he reclamado también las grabaciones y no me quieren mandar. Me están dando largas. También me dijeron de devolver el dinero y ahora dicen que no."
"Maltratan al anfitrión","Otra vez le dan la razón al huésped, una histérica haciendo fotos de todo, mandándome mensajes,buscando detrás de los muebles y le dan la razónMal, fatal gestión al anfitrión, que realiza un enorme esfuerzo por tener la casa en condiciones, todo por hacer caso, sin pruebas a cualquier histérica o sinvergüenza"
"Me siento estafado doblemente","Realizó una reserva para 9 días, entrego documentación perosnal, la acepta el anfitrión, la pago y a menos de 24 horas y ya de camino recibo un mensaje que la cancelan.La estada es doble te quedas sin alojamiento y sin dinero, ya que según indican pueden pasar hasta 10-15 díasPara la devolución…. Adiós vacaciones. Muy aconsejable para quien quiera jugar a  la ruleta rusa.Esto ocurre el 22 de agosto porLa tarde para reserva el 23 y yo de camino a la otra parte de España, una vez en el lugar, búscate la vida sin dinero,  que a saber cuando lo tendrán disponible tu dinero , el mío el 24 aún no lo tienen.   Me reitero, un buen lugar para contratar las vacaciones si no las quieres.El día 1 a trabajar sin vacaciones y sin dinero y ya veremos.Atención al cliente de irbnb que lo sienten, que la devolución está en camino y que no es lo habitual."
"Airbnb ha demostrado una total falta de…","Airbnb ha demostrado una total falta de humanidad y flexibilidad en mi caso. Por una emergencia familiar grave y la situación crítica de los incendios en Asturias, pedí cambiar las fechas o una devolución parcial. El anfitrión se negó rotundamente, y Airbnb, en lugar de intervenir con sensibilidad, se limitó a escudarse en políticas rígidas y despersonalizadas.El resultado: perdí el dinero de una estancia que no pude disfrutar y sentí que ni mi situación personal ni el contexto de emergencia de la zona importaban.Una plataforma que presume de comunidad global debería proteger a sus usuarios en casos de fuerza mayor. En lugar de eso, dejan al viajero totalmente desamparado, favoreciendo siempre al anfitrión.Si buscas confianza y apoyo real en momentos difíciles, Airbnb no está a la altura."
"Atención al cliente pésima","Atención al cliente pésima. Llamamons por una incidencia con un propietario y la chica que nos atendió nos colgó sin dar motivo ni ayuda. Poco profesional y cero resolutivos."
"Nefasta experiencia, para no repetir","El alojamiento estaba lleno de telas de araña,arañas muertas en los armarios,suciedad en los colchones....ante esos problemas Airbnb se lava las manos y elimina los comentarios negativos sobre el alojamiento en cuestión para evitar que les vuelva a pasar a otros en el futuro."
"Es una basura de plataforma","Es una basura de plataforma. Cancelan por su cuenta el alojamiento si el anfitrión se lo pide y te ves sin el dinero de la reserva y en la calle. Ademas mandan datos de las reservas a los ayuntamientos y a la policia local, un desproposito falta de proteccion. Ademas pedir el dni por la cara principal esta prohibido y ellos lo hacen"
"NO PAGAN NINGUN DAÑO O ROBO  DE HUESPEDES","AVISO A PROPIETARIOS, no usen esta plataforma, no paga los daños de los huéspedes, pierdes un montón de tiempo reclamando, y como no les han retenido ni un minimo importe, NO SE HACEN CARGO, hacen de jueces, te marean, excusas Y QUE EL PROPIETARIO O GESTOR Se coma todos los daños o robos de los huespedes. Y te piden datos personales de propietarios en contra de la ley de Protección de Datos, quien alquile, que sepa que tendrá que pagar todo lo que rompan o roben. PLATAFORMA FRAUDULENTA"
"La mayoría cuesta más que los hoteles…","La mayoría cuesta más que los hoteles de 4 estrellas. Este servicio se ha vuelto inútil"
"Cancelan el día de antes y nos dejan sin vacaciones","Hicimos una reserva en Oviedo del 15 al 23 de agosto, pagamos todo y hablamos hasta con la anfitriona. Todo fenomenal. El 13 de agosto por la tarde Airbnb nos cancela la reserva, nos da apartamentos de una habitación para tres personas o nos envía a la otra punta de Asturias, como dicen que no lo aceptamos nos devuelven el dinero y nos dejan tirados sin vacaciones a toda la familia. No les importa nada el daño que nos han hecho. Es una indefensión total. Si cancelo yo pierdo el dinero, cancelan ellos y me dejan sin vacaciones.... No os fiéis nunca de Airbnb, os pueden dejar tirados en cualquier momento. Llevo toda la tarde llorando y buscando solución... De momento no tengo nada..."
"En la calle","Nuestro anfitrión no dió señales de vida y airbnb nos dejó en la calle. Nos han devuelto el dinero pero el presupuesto del verano nos lo hemos gastado en dos noches de hotel."
"Airbnb cancela reservas, no te fíes","Tenía un apartamento reservado desde Enero y a finales de Mayo Airbnb me cancela la reserva, estando confirmada y pagada en parte. Tuve que buscar otra opción cuando apenas había disponibilidad y los precios más caros y el alojamiento que reservé no era ni parecido al inicial. Ellos dicen que solo hacen de intermediarios y me dieron un bono descuento ridículo. Pues no señores, deberían buscar una solución consiguiendo un apartamento con las mismas características que el inicial y el mismo precio y en tal caso hacerse cargo de la diferencia."
"Siempre un hotel será mejor alternativa","Llevo años utilizando la plataforma, confiando en “los estándares” Lamentablemente, me tocó la experiencia en NY de que la ubicación no era la correcta, luego poder entrar al lugar fue difícil, y por último el baño del lugar. Pero el anfitrión era “un súper anfitrión”, pagué $664 y luego de mil batallas con el mal manejo de mi caso, solo me devolvieron $250, además tuve que rentar otro espacio, incurriendo en un doble gasto. El caso fue supuestamente escalado, pero “nadie podía ayudar”. En fin, terrible experiencia, pero será mi última. Escoger esta alternativa, puede salir muy mal."
"Pemite insultos en su plataforma pública","Hoy en día que existe una sensibilidad en las redes sociales frente a los insultos, esta empresa tiene muchas políticas de los esto y de lo otro y resulta que permite insultos personales de los anfitriones a sus huéspedes en su plataforma."
"Cancelación a 10 días de la estancia para el 15 de agosto a Torrevieja Airbnb","Llevo años utilizando Airbnb, y el anfitrión me acaba de cancelar a día 5 de agosto una reserva para el 15 de agosto en Torrevieja, para 8 personas y con piscina que cogí con tiempo... porque no tiene la licencia...y la señora de atención me dice que si si se me va a devolver el dinero... Y que alternativas? Ninguna  Una vergüenza"
"indignante","Un desastre. Tenía la confirmación de mi alojamiento el Oporto. Cuando llegué, cansada del viaje, al mediodía con 38 grados y cargada de maletas, me dicen en el apartamento que lo habían cancelado el día anterior y no entienden por qué Airbnb no me avisó de la cancelación. La respuesta de esta ""empresa"" por no llamarlos de otra manera, es que me devolverían el dinero, pero ninguna solución para alojarme. Es indignante"
"Cuidado con Airbnb .","Cuidado con Airbnb,han cogido el monopoilo de las casas y son capaces de cualquier cosa.En mi caso el propietario de una vivienda me canceló la solicitud por estar ocupada, el dinero nada más hacer la reserva me lo retienen , y una semana después siguen sin realizar la devolución de un montante importante.Buscaré otras opciones a esta plataforma, son demasiado piratas."
