"columna_1","columna_2"
"Atención al cliente pésima","Atención al cliente pésima. Llamamons por una incidencia con un propietario y la chica que nos atendió nos colgó sin dar motivo ni ayuda. Poco profesional y cero resolutivos."
"Nefasta experiencia, para no repetir","El alojamiento estaba lleno de telas de araña,arañas muertas en los armarios,suciedad en los colchones....ante esos problemas Airbnb se lava las manos y elimina los comentarios negativos sobre el alojamiento en cuestión para evitar que les vuelva a pasar a otros en el futuro."
"Es una basura de plataforma","Es una basura de plataforma. Cancelan por su cuenta el alojamiento si el anfitrión se lo pide y te ves sin el dinero de la reserva y en la calle. Ademas mandan datos de las reservas a los ayuntamientos y a la policia local, un desproposito falta de proteccion. Ademas pedir el dni por la cara principal esta prohibido y ellos lo hacen"
"NO PAGAN NINGUN DAÑO O ROBO  DE HUESPEDES","AVISO A PROPIETARIOS, no usen esta plataforma, no paga los daños de los huéspedes, pierdes un montón de tiempo reclamando, y como no les han retenido ni un minimo importe, NO SE HACEN CARGO, hacen de jueces, te marean, excusas Y QUE EL PROPIETARIO O GESTOR Se coma todos los daños o robos de los huespedes. Y te piden datos personales de propietarios en contra de la ley de Protección de Datos, quien alquile, que sepa que tendrá que pagar todo lo que rompan o roben. PLATAFORMA FRAUDULENTA"
"La mayoría cuesta más que los hoteles…","La mayoría cuesta más que los hoteles de 4 estrellas. Este servicio se ha vuelto inútil"
"Cancelan el día de antes y nos dejan sin vacaciones","Hicimos una reserva en Oviedo del 15 al 23 de agosto, pagamos todo y hablamos hasta con la anfitriona. Todo fenomenal. El 13 de agosto por la tarde Airbnb nos cancela la reserva, nos da apartamentos de una habitación para tres personas o nos envía a la otra punta de Asturias, como dicen que no lo aceptamos nos devuelven el dinero y nos dejan tirados sin vacaciones a toda la familia. No les importa nada el daño que nos han hecho. Es una indefensión total. Si cancelo yo pierdo el dinero, cancelan ellos y me dejan sin vacaciones.... No os fiéis nunca de Airbnb, os pueden dejar tirados en cualquier momento. Llevo toda la tarde llorando y buscando solución... De momento no tengo nada..."
"En la calle","Nuestro anfitrión no dió señales de vida y airbnb nos dejó en la calle. Nos han devuelto el dinero pero el presupuesto del verano nos lo hemos gastado en dos noches de hotel."
"Airbnb cancela reservas, no te fíes","Tenía un apartamento reservado desde Enero y a finales de Mayo Airbnb me cancela la reserva, estando confirmada y pagada en parte. Tuve que buscar otra opción cuando apenas había disponibilidad y los precios más caros y el alojamiento que reservé no era ni parecido al inicial. Ellos dicen que solo hacen de intermediarios y me dieron un bono descuento ridículo. Pues no señores, deberían buscar una solución consiguiendo un apartamento con las mismas características que el inicial y el mismo precio y en tal caso hacerse cargo de la diferencia."
"Siempre un hotel será mejor alternativa","Llevo años utilizando la plataforma, confiando en “los estándares” Lamentablemente, me tocó la experiencia en NY de que la ubicación no era la correcta, luego poder entrar al lugar fue difícil, y por último el baño del lugar. Pero el anfitrión era “un súper anfitrión”, pagué $664 y luego de mil batallas con el mal manejo de mi caso, solo me devolvieron $250, además tuve que rentar otro espacio, incurriendo en un doble gasto. El caso fue supuestamente escalado, pero “nadie podía ayudar”. En fin, terrible experiencia, pero será mi última. Escoger esta alternativa, puede salir muy mal."
"Pemite insultos en su plataforma pública","Hoy en día que existe una sensibilidad en las redes sociales frente a los insultos, esta empresa tiene muchas políticas de los esto y de lo otro y resulta que permite insultos personales de los anfitriones a sus huéspedes en su plataforma."
